,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,company,full_name
2234,Figo Petrol Titanium,229999,120000,Petrol,Individual,Manual,Third Owner,15.6,1196.0,70.0,5,15,Ford,Ford Figo Petrol Titanium
2235,Innova 2.5 G (Diesel) 8 Seater,1000000,65000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8,9,Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater
2236,Wagon R VXI 1.2,490000,10000,Petrol,Individual,Manual,First Owner,20.52,1197.0,81.8,5,6,Maruti,Maruti Wagon R VXI 1.2
2237,i10 Sportz,150000,80000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,16,Hyundai,Hyundai i10 Sportz
2238,Ertiga VDI,600000,184000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7,12,Maruti,Maruti Ertiga VDI
2239,Wagon R CNG LXI,270000,80000,CNG,Individual,Manual,Second Owner,32.52,998.0,58.33,5,12,Maruti,Maruti Wagon R CNG LXI
2240,Zen LXi - BS III,60000,70000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,20,Maruti,Maruti Zen LXi - BS III
2241,SX4 Zxi with Leather BSIII,150000,89000,Petrol,Individual,Manual,Second Owner,15.6,1586.0,104.68,5,17,Maruti,Maruti SX4 Zxi with Leather BSIII
2243,Swift VDI,525000,69000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,12,Maruti,Maruti Swift VDI
2245,Indica V2 eLX,83000,90000,Diesel,Individual,Manual,Second Owner,25.0,1396.0,69.0,5,13,Tata,Tata Indica V2 eLX
2246,EON Era Plus,300000,8000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5,8,Hyundai,Hyundai EON Era Plus
2247,i20 1.2 Sportz,350000,35000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5,13,Hyundai,Hyundai i20 1.2 Sportz
2248,i20 1.2 Sportz,300000,45000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5,14,Hyundai,Hyundai i20 1.2 Sportz
2249,Linea 1.3 Active,250000,30000,Diesel,Individual,Manual,First Owner,20.4,1248.0,91.2,5,14,Fiat,Fiat Linea 1.3 Active
2250,800 Std,114999,59000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,19,Maruti,Maruti 800 Std
2251,Ertiga VXI Petrol,700000,6200,Petrol,Individual,Manual,First Owner,19.34,1462.0,103.0,7,7,Maruti,Maruti Ertiga VXI Petrol
2252,Celerio X ZXI,250000,120000,Petrol,Individual,Manual,Second Owner,21.63,998.0,67.0,5,5,Maruti,Maruti Celerio X ZXI
2253,Wagon R LXI BS IV,350000,70000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,9,Maruti,Maruti Wagon R LXI BS IV
2254,Omni 5 Str STD,80000,70000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5,27,Maruti,Maruti Omni 5 Str STD
2255,Scorpio S2 7 Seater,850000,110000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7,8,Mahindra,Mahindra Scorpio S2 7 Seater
2256,Spark 1.0 LS,90000,93000,Petrol,Individual,Manual,Third Owner,18.0,995.0,62.0,5,18,Chevrolet,Chevrolet Spark 1.0 LS
2257,Tavera Neo 3 10 Seats BSIII,600000,110000,Diesel,Individual,Manual,First Owner,13.58,2499.0,72.4,10,11,Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIII
2258,Alto LX,135000,57000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5,18,Maruti,Maruti Alto LX
2259,Accent GLE,150000,120000,Petrol,Individual,Manual,First Owner,13.2,1495.0,94.0,5,20,Hyundai,Hyundai Accent GLE
2263,Swift Dzire VXi,240000,120000,Petrol,Individual,Manual,First Owner,17.5,1298.0,85.8,5,16,Maruti,Maruti Swift Dzire VXi
2264,Creta 1.4 E Plus,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396.0,88.7,5,7,Hyundai,Hyundai Creta 1.4 E Plus
2265,Indigo eCS LX BSIV,215000,70000,Diesel,Individual,Manual,First Owner,23.03,1396.0,69.0,5,14,Tata,Tata Indigo eCS LX BSIV
2266,Zen LX,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,5,26,Maruti,Maruti Zen LX
2267,Amaze S i-Dtech,310000,100000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5,12,Honda,Honda Amaze S i-Dtech
2268,i10 Magna,220000,35000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5,17,Hyundai,Hyundai i10 Magna
2269,Swift Vdi BSIII,195000,90000,Diesel,Individual,Manual,Third Owner,17.8,1248.0,75.0,5,17,Maruti,Maruti Swift Vdi BSIII
2270,i20 Active 1.2 S,650000,50000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5,10,Hyundai,Hyundai i20 Active 1.2 S
2271,i20 1.2 Magna,350000,98000,Petrol,Individual,Manual,First Owner,18.5,1197.0,80.0,5,14,Hyundai,Hyundai i20 1.2 Magna
2272,i20 Asta 1.2,360000,30000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5,12,Hyundai,Hyundai i20 Asta 1.2
2273,Elantra SX,550000,50000,Petrol,Individual,Manual,Second Owner,16.3,1797.0,147.5,5,12,Hyundai,Hyundai Elantra SX
2274,Grand i10 Sportz,490000,26000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,9,Hyundai,Hyundai Grand i10 Sportz
2275,Alto LXi,195000,46000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,14,Maruti,Maruti Alto LXi
2276,Alto LX,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5,15,Maruti,Maruti Alto LX
2277,Tiago 1.2 Revotron XZ,459999,10000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5,6,Tata,Tata Tiago 1.2 Revotron XZ
2278,Alto 800 LXI,275000,16700,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,10,Maruti,Maruti Alto 800 LXI
2279,Swift Dzire VDI,680000,70000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5,7,Maruti,Maruti Swift Dzire VDI
2280,Swift Dzire ZXI,600000,7967,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,10,Maruti,Maruti Swift Dzire ZXI
2281,Swift ZXI Plus,720000,20000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5,7,Maruti,Maruti Swift ZXI Plus
2282,KWID RXT Optional,356000,9656,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5,9,Renault,Renault KWID RXT Optional
2283,i10 Era,225000,50000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5,14,Hyundai,Hyundai i10 Era
2284,Freestyle Titanium Diesel BSIV,725000,17000,Diesel,Individual,Manual,First Owner,24.4,1498.0,98.63,5,6,Ford,Ford Freestyle Titanium Diesel BSIV
2285,Spark 1.0 LT,130000,50000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5,15,Chevrolet,Chevrolet Spark 1.0 LT
2286,KWID RXT,300000,10000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5,10,Renault,Renault KWID RXT
2287,i20 Sportz 1.2,400000,43000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5,12,Hyundai,Hyundai i20 Sportz 1.2
2288,Verna 1.4 CX,550000,50000,Diesel,Individual,Manual,First Owner,23.5,1396.0,88.7,5,12,Hyundai,Hyundai Verna 1.4 CX
2289,Wagon R PRIMEA,120000,90000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.0,5,19,Maruti,Maruti Wagon R PRIMEA
2290,Xylo D4 BSIV,409999,100000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,8,13,Mahindra,Mahindra Xylo D4 BSIV
2291,Santro Xing (Non-AC),110000,80000,Petrol,Individual,Manual,Second Owner,0.0,1086.0,62.1,5,15,Hyundai,Hyundai Santro Xing (Non-AC)
2292,Bolero 2011-2019 SLX,450000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7,13,Mahindra,Mahindra Bolero 2011-2019 SLX
2293,Swift VXI,610000,5000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5,6,Maruti,Maruti Swift VXI
2294,Ecosport 1.5 DV5 MT Trend,515000,68609,Diesel,Dealer,Manual,First Owner,22.7,1498.0,89.84,5,9,Ford,Ford Ecosport 1.5 DV5 MT Trend
2295,EcoSport 1.5 TDCi Titanium BE BSIV,925000,33360,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,5,7,Ford,Ford EcoSport 1.5 TDCi Titanium BE BSIV
2296,Kicks XL BSIV,860000,14317,Petrol,Dealer,Manual,First Owner,14.23,1498.0,104.55,5,6,Nissan,Nissan Kicks XL BSIV
2297,Figo Diesel Titanium,225000,87237,Diesel,Dealer,Manual,Second Owner,20.0,1399.0,68.05,5,13,Ford,Ford Figo Diesel Titanium
2298,Figo 1.5D Trend MT,500000,62960,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,5,8,Ford,Ford Figo 1.5D Trend MT
2299,Swift Dzire AMT VXI,600000,26634,Petrol,Dealer,Automatic,First Owner,21.21,1197.0,81.8,5,8,Maruti,Maruti Swift Dzire AMT VXI
2300,Figo Diesel EXI Option,195000,163720,Diesel,Dealer,Manual,First Owner,18.5,1399.0,68.0,5,13,Ford,Ford Figo Diesel EXI Option
2301,Wagon R LXI BS IV,265000,67998,Petrol,Dealer,Manual,First Owner,18.9,998.0,67.1,5,13,Maruti,Maruti Wagon R LXI BS IV
2302,Freestyle Trend Diesel,650000,20706,Diesel,Dealer,Manual,First Owner,23.8,1499.0,98.63,5,7,Ford,Ford Freestyle Trend Diesel
2303,Figo Aspire 1.5 TDCi Trend,415000,100581,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,5,10,Ford,Ford Figo Aspire 1.5 TDCi Trend
2304,Duster 85PS Diesel RxE Adventure,600000,67303,Diesel,Dealer,Manual,First Owner,20.45,1461.0,83.8,5,10,Renault,Renault Duster 85PS Diesel RxE Adventure
2305,Ritz VXi,340000,79139,Petrol,Dealer,Manual,First Owner,18.5,1197.0,85.8,5,12,Maruti,Maruti Ritz VXi
2306,Grand i10 CRDi Sportz,350000,84784,Diesel,Dealer,Manual,First Owner,24.0,1120.0,70.0,5,11,Hyundai,Hyundai Grand i10 CRDi Sportz
2307,Ritz LDi,265000,130376,Diesel,Dealer,Manual,Second Owner,23.2,1248.0,73.94,5,13,Maruti,Maruti Ritz LDi
2308,Safari DICOR 2.2 EX 4x2,625000,72000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,7,8,Tata,Tata Safari DICOR 2.2 EX 4x2
2309,Verna CRDi SX,245000,127000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5,17,Hyundai,Hyundai Verna CRDi SX
2310,Swift VDI BSIV,395000,120000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5,11,Maruti,Maruti Swift VDI BSIV
2311,Xcent 1.1 CRDi S,490000,100000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5,11,Hyundai,Hyundai Xcent 1.1 CRDi S
2312,Ertiga SHVS VDI,955000,40000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7,7,Maruti,Maruti Ertiga SHVS VDI
2313,Swift Dzire VDI,525000,110000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,12,Maruti,Maruti Swift Dzire VDI
2314,Tigor 1.2 Revotron XZ Option,550000,30000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5,8,Tata,Tata Tigor 1.2 Revotron XZ Option
2315,Indica Vista TDI LX,200000,120000,Diesel,Individual,Manual,Second Owner,19.1,1405.0,70.0,5,11,Tata,Tata Indica Vista TDI LX
2316,Figo Aspire 1.2 Ti-VCT Trend,500000,15000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5,8,Ford,Ford Figo Aspire 1.2 Ti-VCT Trend
2317,SX4 S Cross 2015-2017 DDiS 200 Zeta,825000,33500,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,5,9,Maruti,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta
2318,Quanto C6,250000,70000,Diesel,Individual,Manual,First Owner,17.21,1493.0,100.0,7,13,Mahindra,Mahindra Quanto C6
2319,Etios Cross 1.2L G,600000,10000,Petrol,Individual,Manual,First Owner,18.16,1197.0,78.8,5,10,Toyota,Toyota Etios Cross 1.2L G
2320,Scorpio S7 120,1325000,22053,Diesel,Individual,Manual,First Owner,16.36,2179.0,120.0,7,7,Mahindra,Mahindra Scorpio S7 120
2321,TUV 300 T8,770000,50000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7,9,Mahindra,Mahindra TUV 300 T8
2322,Optra Magnum 2.0 LS,415000,78432,Diesel,Individual,Manual,First Owner,16.52,1991.0,123.7,5,14,Chevrolet,Chevrolet Optra Magnum 2.0 LS
2323,Santa Fe 4X4,825000,125000,Diesel,Individual,Manual,Second Owner,14.66,2199.0,194.3,7,14,Hyundai,Hyundai Santa Fe 4X4
2324,Aspire Trend Diesel BSIV,530000,80000,Diesel,Individual,Manual,First Owner,26.1,1498.0,99.23,5,7,Ford,Ford Aspire Trend Diesel BSIV
2325,Innova 2.5 V Diesel 8-seater,425000,270000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,8,19,Toyota,Toyota Innova 2.5 V Diesel 8-seater
2326,Brio V MT,310000,50000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5,13,Honda,Honda Brio V MT
2327,Tiago 1.2 Revotron XZ,390000,20000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5,8,Tata,Tata Tiago 1.2 Revotron XZ
2328,Creta 1.6 VTVT E Plus,700000,30000,Petrol,Individual,Manual,First Owner,15.29,1591.0,121.3,5,9,Hyundai,Hyundai Creta 1.6 VTVT E Plus
2329,i10 Sportz 1.1L,200000,70000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,5,15,Hyundai,Hyundai i10 Sportz 1.1L
2330,Innova 2.5 G (Diesel) 8 Seater,1050000,7200,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8,12,Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater
2331,City i DTEC SV,580000,97000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5,11,Honda,Honda City i DTEC SV
2332,EON Era Plus,200000,60000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5,11,Hyundai,Hyundai EON Era Plus
2333,Sail Hatchback Petrol LS ABS,245000,25000,Petrol,Individual,Manual,First Owner,18.2,1199.0,84.8,5,12,Chevrolet,Chevrolet Sail Hatchback Petrol LS ABS
2334,i10 Sportz,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,15,Hyundai,Hyundai i10 Sportz
2335,Baleno LXI,50000,90000,Petrol,Individual,Manual,Second Owner,15.4,1590.0,94.0,5,20,Maruti,Maruti Baleno LXI
2336,Captiva 2.2 LTZ AWD,700000,50000,Diesel,Individual,Automatic,Second Owner,12.12,2231.0,184.0,7,13,Chevrolet,Chevrolet Captiva 2.2 LTZ AWD
2337,Bolt Quadrajet XE,660000,35000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5,6,Tata,Tata Bolt Quadrajet XE
2338,City i VTEC V,630000,117500,Petrol,Individual,Manual,Second Owner,17.4,1497.0,117.3,5,10,Honda,Honda City i VTEC V
2339,XUV500 W8 2WD,950000,78500,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7,13,Mahindra,Mahindra XUV500 W8 2WD
2340,i20 1.2 Asta Dual Tone,740000,8000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,7,Hyundai,Hyundai i20 1.2 Asta Dual Tone
2341,Figo Aspire 1.2 Ti-VCT Sports Edition,570000,25000,Petrol,Individual,Manual,First Owner,18.12,1196.0,86.8,5,8,Ford,Ford Figo Aspire 1.2 Ti-VCT Sports Edition
2342,Verna 1.6 SX,450000,60000,Diesel,Individual,Manual,Third Owner,22.32,1582.0,126.32,5,13,Hyundai,Hyundai Verna 1.6 SX
2343,RediGO 1.0 T Option,390000,10000,Petrol,Individual,Manual,First Owner,22.5,999.0,67.0,5,6,Datsun,Datsun RediGO 1.0 T Option
2344,Ikon 1.6 Nxt,180000,70000,Petrol,Individual,Manual,Second Owner,14.2,1597.0,92.0,5,16,Ford,Ford Ikon 1.6 Nxt
2345,Nano LX,130000,60000,Petrol,Individual,Manual,First Owner,25.4,624.0,37.48,4,10,Tata,Tata Nano LX
2346,City 2017-2020 GXi,270000,70000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,5,19,Honda,Honda City 2017-2020 GXi
2347,800 DX,60000,25000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4,28,Maruti,Maruti 800 DX
2348,Verna 1.6 Xi ABS,170000,90000,Petrol,Individual,Manual,Third Owner,13.9,1599.0,103.2,5,19,Hyundai,Hyundai Verna 1.6 Xi ABS
2349,Creta 1.6 CRDi SX,978999,90000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,10,Hyundai,Hyundai Creta 1.6 CRDi SX
2350,Tiago 1.2 Revotron XM,490000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5,7,Tata,Tata Tiago 1.2 Revotron XM
2351,Fiesta Diesel Style,280000,60000,Diesel,Individual,Manual,Second Owner,23.5,1498.0,88.7,5,13,Ford,Ford Fiesta Diesel Style
2352,Tiago 1.2 Revotron XM,390000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5,7,Tata,Tata Tiago 1.2 Revotron XM
2353,Alto 800 VXI,170000,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74,796.0,47.3,5,12,Maruti,Maruti Alto 800 VXI
2354,Spark 1.0,45000,70000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5,17,Chevrolet,Chevrolet Spark 1.0
2355,Ertiga SHVS VDI,640000,80000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7,9,Maruti,Maruti Ertiga SHVS VDI
2356,Scorpio S2 9 Seater,650000,110000,Diesel,Individual,Manual,Second Owner,15.4,2523.0,75.0,9,10,Mahindra,Mahindra Scorpio S2 9 Seater
2357,Scorpio LX,500000,115717,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9,12,Mahindra,Mahindra Scorpio LX
2358,Fusion Plus 1.4 TDCi Diesel,90000,110000,Diesel,Individual,Manual,Second Owner,17.7,1399.0,68.0,5,17,Ford,Ford Fusion Plus 1.4 TDCi Diesel
2359,Aria Pure LX 4x2,480000,70000,Diesel,Individual,Manual,Second Owner,15.05,2179.0,147.9,7,11,Tata,Tata Aria Pure LX 4x2
2360,Swift VXI,630000,4000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5,6,Maruti,Maruti Swift VXI
2361,i10 Sportz,250000,50000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5,14,Hyundai,Hyundai i10 Sportz
2362,Grand i10 Sportz,330000,70000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1197.0,82.0,5,9,Hyundai,Hyundai Grand i10 Sportz
2363,i10 Magna,180000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,16,Hyundai,Hyundai i10 Magna
2364,i20 Magna,210000,50000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5,15,Hyundai,Hyundai i20 Magna
2365,Swift Dzire ZDI,550000,55000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,9,Maruti,Maruti Swift Dzire ZDI
2366,Nexon 1.2 Revotron XZA Plus,950000,5000,Petrol,Individual,Automatic,First Owner,17.0,1198.0,108.5,5,5,Tata,Tata Nexon 1.2 Revotron XZA Plus
2367,Bolero 2011-2019 ZLX,430000,100000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7,12,Mahindra,Mahindra Bolero 2011-2019 ZLX
2368,i10 Sportz,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,11,Hyundai,Hyundai i10 Sportz
2369,Alto 800 LX,196000,60000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5,11,Maruti,Maruti Alto 800 LX
2370,Wagon R LXI Minor,150000,70000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,15,Maruti,Maruti Wagon R LXI Minor
2371,Wagon R LXI Minor,150000,60000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,16,Maruti,Maruti Wagon R LXI Minor
2372,Safari Storme VX Varicor 400,1250000,100000,Diesel,Individual,Manual,First Owner,14.1,2179.0,153.86,7,6,Tata,Tata Safari Storme VX Varicor 400
2373,Ertiga VDI,600000,90000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7,10,Maruti,Maruti Ertiga VDI
2374,Nano Lx BSIV,65000,26432,Petrol,Dealer,Manual,First Owner,25.4,624.0,37.48,4,15,Tata,Tata Nano Lx BSIV
2375,Omni E 8 Str STD,220000,46702,Petrol,Dealer,Manual,First Owner,16.8,796.0,34.2,8,9,Maruti,Maruti Omni E 8 Str STD
2376,Omni E 8 Str STD,220000,46706,Petrol,Dealer,Manual,First Owner,16.8,796.0,34.2,8,9,Maruti,Maruti Omni E 8 Str STD
2377,Indica V2 eXeta GLS,110000,53523,Petrol,Dealer,Manual,First Owner,16.84,1193.0,64.4,5,19,Tata,Tata Indica V2 eXeta GLS
2378,Beat Diesel LT,175000,56365,Diesel,Dealer,Manual,First Owner,25.44,936.0,56.3,5,13,Chevrolet,Chevrolet Beat Diesel LT
2379,Spark 1.0 LT,160000,49563,Petrol,Dealer,Manual,First Owner,16.2,995.0,62.1,5,14,Chevrolet,Chevrolet Spark 1.0 LT
2380,800 Std BSIII,65000,56432,Petrol,Dealer,Manual,First Owner,16.1,796.0,37.0,4,21,Maruti,Maruti 800 Std BSIII
2381,800 AC,60000,52365,Petrol,Dealer,Manual,Second Owner,16.1,796.0,37.0,4,23,Maruti,Maruti 800 AC
2382,Alto LXi BSIII,120000,53512,Petrol,Dealer,Manual,Second Owner,19.7,796.0,46.3,5,18,Maruti,Maruti Alto LXi BSIII
2383,Ssangyong Rexton RX7,1000000,40000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7,12,Mahindra,Mahindra Ssangyong Rexton RX7
2384,Wagon R LXI BS IV,220000,46533,Petrol,Dealer,Manual,First Owner,18.9,998.0,67.1,5,15,Maruti,Maruti Wagon R LXI BS IV
2385,Omni 8 Seater BSIV,114999,58632,Petrol,Dealer,Manual,Second Owner,14.0,796.0,35.0,5,17,Maruti,Maruti Omni 8 Seater BSIV
2386,XUV500 AT W6 2WD,850000,80000,Diesel,Individual,Automatic,Second Owner,16.0,2179.0,140.0,7,9,Mahindra,Mahindra XUV500 AT W6 2WD
2387,Ertiga SHVS VDI,750000,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7,9,Maruti,Maruti Ertiga SHVS VDI
2388,KWID 1.0 RXT Optional,265000,90000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5,8,Renault,Renault KWID 1.0 RXT Optional
2389,Classic 1.6 Duratec Titanium,450000,110000,Petrol,Individual,Manual,Second Owner,14.09,1596.0,99.6,5,11,Ford,Ford Classic 1.6 Duratec Titanium
2390,Quanto C6,225000,90000,Diesel,Individual,Manual,First Owner,17.21,1493.0,100.0,7,12,Mahindra,Mahindra Quanto C6
2391,Scorpio S10 7 Seater,1125000,70000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7,10,Mahindra,Mahindra Scorpio S10 7 Seater
2392,Swift VXI with ABS,270000,80000,Petrol,Individual,Manual,First Owner,16.6,1197.0,85.0,5,16,Maruti,Maruti Swift VXI with ABS
2393,Alto LX,130000,78000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5,18,Maruti,Maruti Alto LX
2394,Bolero Power Plus SLE,660000,45000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7,8,Mahindra,Mahindra Bolero Power Plus SLE
2395,Alto K10 VXI,240000,50000,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,5,10,Maruti,Maruti Alto K10 VXI
2396,Alto 800 LXI,275000,58000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5,8,Maruti,Maruti Alto 800 LXI
2397,Innova 2.5 VX 8 STR BSIV,750000,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8,13,Toyota,Toyota Innova 2.5 VX 8 STR BSIV
2398,Aveo U-VA 1.2,65000,30000,Petrol,Individual,Manual,Second Owner,14.7,1150.0,76.0,5,18,Chevrolet,Chevrolet Aveo U-VA 1.2
2399,Safari Storme EX,850000,162000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7,8,Tata,Tata Safari Storme EX
2400,Wagon R LXI CNG,300000,50000,CNG,Individual,Manual,Second Owner,26.6,998.0,58.16,5,9,Maruti,Maruti Wagon R LXI CNG
2401,i20 1.2 Magna Executive,555000,25000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5,7,Hyundai,Hyundai i20 1.2 Magna Executive
2402,Scorpio 1.99 S6 Plus,825000,60000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7,10,Mahindra,Mahindra Scorpio 1.99 S6 Plus
2403,Santro Xing GLS LPG,150000,70000,LPG,Individual,Manual,Third Owner,13.45,1086.0,62.1,5,15,Hyundai,Hyundai Santro Xing GLS LPG
2404,Swift Dzire VDi,185000,138000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5,16,Maruti,Maruti Swift Dzire VDi
2405,i10 Magna,180000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,15,Hyundai,Hyundai i10 Magna
2406,Alto LXi,160000,48000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,15,Maruti,Maruti Alto LXi
2407,Endeavour 3.0L 4X2 AT,500000,110000,Diesel,Individual,Automatic,First Owner,11.4,2953.0,153.86,7,13,Ford,Ford Endeavour 3.0L 4X2 AT
2408,Swift VDI BSIV,375000,88000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,5,11,Maruti,Maruti Swift VDI BSIV
2409,Innova 2.5 GX (Diesel) 7 Seater,900000,68000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7,10,Toyota,Toyota Innova 2.5 GX (Diesel) 7 Seater
2410,Grand i10 Sportz,459999,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,8,Hyundai,Hyundai Grand i10 Sportz
2411,Duster 85PS Diesel RxL,480000,80000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5,11,Renault,Renault Duster 85PS Diesel RxL
2412,Swift VDI,320000,100000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5,12,Maruti,Maruti Swift VDI
2413,Swift VDI,370000,96000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,12,Maruti,Maruti Swift VDI
2414,Zen LX,75000,30000,Petrol,Individual,Manual,Third Owner,17.3,993.0,60.0,5,23,Maruti,Maruti Zen LX
2415,Ritz LDi,400000,60000,Diesel,Individual,Manual,Third Owner,23.2,1248.0,73.94,5,9,Maruti,Maruti Ritz LDi
2416,Swift VDI BSIV,425000,65000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5,11,Maruti,Maruti Swift VDI BSIV
